Collection Date,River,Mountain Range,NO3_mgL,d15N-NO3,d18O-NO3
10/13/2014,Cedar,Cascades,0.107,6.2,20.7
11/3/2014,Cedar,Cascades,0.17,2.2,-2.7
12/8/2014,Cedar,Cascades,0.199,1.6,-3.1
1/12/2015,Cedar,Cascades,0.218,1.2,0.1
2/9/2015,Cedar,Cascades,0.389,2.9,0.0
3/9/2015,Cedar,Cascades,0.277,3.9,0.5
4/13/2015,Cedar,Cascades,0.268,5.0,1.1
5/11/2015,Cedar,Cascades,0.167,4.7,7.9
6/8/2015,Cedar,Cascades,0.163,4.1,1.1
7/13/2015,Cedar,Cascades,0.11,4.4,-0.8
8/17/2015,Cedar,Cascades,0.175,4.7,1.2
9/21/2015,Cedar,Cascades,0.104,6.0,4.2
10/12/2015,Cedar,Cascades,0.144,7.9,3.0
11/2/2015,Cedar,Cascades,0.635,2.6,3.1
12/7/2015,Cedar,Cascades,0.518,4.1,1.8
1/4/2016,Cedar,Cascades,0.545,3.6,1.5
2/8/2016,Cedar,Cascades,0.251,3.3,0.3
3/7/2016,Cedar,Cascades,0.203,2.6,0.2
4/11/2016,Cedar,Cascades,0.207,5.0,1.1
5/9/2016,Cedar,Cascades,0.19,3.8,2.3
6/13/2016,Cedar,Cascades,0.152,4.6,3.2
7/11/2016,Cedar,Cascades,0.174,5.0,3.5
8/22/2016,Cedar,Cascades,0.186,5.7,0.0
9/12/2016,Cedar,Cascades,0.15,5.1,2.5
10/13/2014,Green,Cascades,0.232,NA,NA
11/3/2014,Green,Cascades,0.423,4.2,-1.9
12/8/2014,Green,Cascades,0.511,5.7,-0.8
1/12/2015,Green,Cascades,0.398,2.9,-0.5
2/9/2015,Green,Cascades,0.499,4.2,0.2
3/9/2015,Green,Cascades,0.564,4.9,8.3
4/13/2015,Green,Cascades,0.443,5.9,1.4
5/11/2015,Green,Cascades,0.345,5.1,5.9
6/8/2015,Green,Cascades,0.419,5.5,1.2
7/13/2015,Green,Cascades,0.205,6.6,0.4
8/17/2015,Green,Cascades,0.261,4.8,1.2
9/21/2015,Green,Cascades,0.325,5.3,4.7
10/12/2015,Green,Cascades,0.381,5.8,2.2
11/2/2015,Green,Cascades,0.54,1.7,2.8
12/9/2015,Green,Cascades,0.617,4.4,1.9
1/4/2016,Green,Cascades,0.887,4.5,2.4
2/8/2016,Green,Cascades,0.456,4.0,-1.0
3/7/2016,Green,Cascades,0.382,4.1,0.2
4/11/2016,Green,Cascades,0.241,7.0,0.9
5/9/2016,Green,Cascades,0.308,5.0,-0.9
6/13/2016,Green,Cascades,0.368,5.0,-2.1
7/11/2016,Green,Cascades,0.362,5.4,-1.1
8/22/2016,Green,Cascades,0.239,5.2,-0.9
9/12/2016,Green,Cascades,0.034,5.2,-0.8
10/14/2014,Nooksack,Cascades,0.278,1.5,-0.5
11/4/2014,Nooksack,Cascades,0.215,0.2,-2.6
